,SMILES,Absorption solvent,Emission solvent,Absorption (nm),Emission (nm),DOI
6507,C1=C2N(C3=[N]([Ir+3]45([C-]6=C(N7C=CC=[N]47)C=CC=C6)([C-]4=C(N6C=CC=[N]56)C=CC=C4)[N]4=C3C=CC=C4)C2=CC(=C1)C(NCCOCCOCC(N[C@@](CC1=CC=CC=C1)([H])C(N[C@@]1(C(N[C@](C(=O)N[C@](CC2=CNC3=CC=CC=C23)(C(=O)N[C@](CCCCN)([H])C(N[C@@]([H])([C@@]([H])(C)O)C(=O)N[C@@]([H])(CSSC1)C(N[C@@]([C@@]([H])(C)O)(CO)[H])=O)=O)[H])(CC1=CC=CC=C1)[H])=O)[H])=O)=O)=O)CCCC,[H]O[H],,400.0,,https://doi.org/10.1039/c7cc01946g
6508,[Ir+3]12345[N]6=C(C=CC=C6)C6=[N]1C1=CC(=CC=C1N6CCCC)C(NCCOCCOCC(=O)N[C@@]([H])(C(=O)N[C@@]1(C(N[C@](C(N[C@](CC6=CNC7=CC=CC=C67)(C(N[C@](C(=O)N[C@@](C(N[C@]([H])(C(=O)N[C@]([H])(CO)[C@@]([H])(C)O)CCCC1)=O)([H])[C@@]([H])(C)O)(CCCCN)[H])=O)[H])=O)(CC1=CC=CC=C1)[H])=O)[H])CC1=CC=CC=C1)=O.C1=CC=C[C-]2=C1N1C=CC=[N]31.C1=CC=C[C-]4=C1N1C=CC=[N]51,[H]O[H],,400.0,,https://doi.org/10.1039/c7cc01946g
6509,,ClCCl,,400.0,,https://doi.org/10.1021/acs.inorgchem.5c00900
6510,CC(C)(C)C1=CC(=[O][Ir+3]234([O-]1)[C-]1=CC(=CC=C1C1=CC=CC=[N]21)S(F)(F)(F)(F)F)C(C)(C)C.FS(F)(F)(F)(F)C1=C[C-]3=C(C=C1)C1=[N]4C=CC=C1,CC#N,,412.0,,https://doi.org/10.1021/acs.inorgchem.7b01075
6511,CC(C)(C)C1=CC(=[O][Ir+3]234([O-]1)[C-]1=CC=C(C=C1C1=CC=CC=[N]21)S(F)(F)(F)(F)F)C(C)(C)C.FS(F)(F)(F)(F)C1=CC(C2=[N]3C=CC=C2)=[C-]4C=C1,CC#N,,403.5,,https://doi.org/10.1021/acs.inorgchem.7b01075
6512,FS(F)(F)(F)(F)C1=C[C-]2=C(C=C1)C1=CC=CC=[N]1[Ir+3]2123[C-]4=C(C=CC(=C4)S(F)(F)(F)(F)F)C4=[N]1C=CC=C4.FS(F)(F)(F)(F)C1=C[C-]2=C(C=C1)C1=[N]3C=CC=C1,CC#N,,456.0,,https://doi.org/10.1021/acs.inorgchem.7b01075
6513,FS(F)(F)(F)(F)C1=CC2=[C-](C=C1)[Ir+3]13([C-]4=C(C=C(C=C4)S(F)(F)(F)(F)F)C4=[N]1C=CC=C4)([C-]1=C(C=C(C=C1)S(F)(F)(F)(F)F)C1=[N]3C=CC=C1)[N]1=CC=CC=C21,CC#N,,414.5,,https://doi.org/10.1021/acs.inorgchem.7b01075
6514,,ClCCl,,409.836,,https://doi.org/10.1017/jfm.2017.691
6515,[Cl-][Ir+3]1234[C-]5=C(C=CC=C5)C5=[N]1C=CC=C5.S1C5=C(C=CC=C5)[N]2=C1C1=CC=CC(C2=[N]3C3=C(S2)C=CC=C3)=[C-]41,ClCCl,,409.836,,https://doi.org/10.1016/j.jorganchem.2017.04.037
6516,[Cl-][Ir+3]1234[C-]5=C(C=CC=C5)C5=[N]1C=CC=C5.O1C5=C(C=CC=C5)[N]2=C1C1=CC=CC(C2=[N]3C3=C(O2)C=CC=C3)=[C-]41,ClCCl,,517.0,,https://doi.org/10.1016/j.jorganchem.2017.04.037
